timestamp_idx,alice_bit,alice_basis,bob_basis,bob_bit,basis_match,error,label
0,0,0,0,0,1,0,normal_noiseless
1,1,1,0,0,0,0,normal_noiseless
2,1,1,0,1,0,0,normal_noiseless
3,0,0,0,0,1,0,normal_noiseless
4,0,0,0,0,1,0,normal_noiseless
5,1,0,0,1,1,0,normal_noiseless
6,1,0,1,1,0,0,normal_noiseless
7,1,0,0,1,1,0,normal_noiseless
8,1,1,1,1,1,0,normal_noiseless
9,1,1,1,1,1,0,normal_noiseless
10,0,0,0,0,1,0,normal_noiseless
11,1,0,1,1,0,0,normal_noiseless
12,0,0,0,0,1,0,normal_noiseless
13,1,0,1,1,0,0,normal_noiseless
14,1,1,0,1,0,0,normal_noiseless
15,1,1,0,0,0,0,normal_noiseless
16,0,1,0,1,0,0,normal_noiseless
17,1,1,0,1,0,0,normal_noiseless
18,0,0,1,0,0,0,normal_noiseless
19,0,0,0,0,1,0,normal_noiseless
20,0,1,0,0,0,0,normal_noiseless
21,1,0,0,1,1,0,normal_noiseless
22,1,1,1,1,1,0,normal_noiseless
23,1,1,0,1,0,0,normal_noiseless
24,0,0,0,0,1,0,normal_noiseless
25,1,1,1,1,1,0,normal_noiseless
26,0,0,1,1,0,0,normal_noiseless
27,1,0,0,1,1,0,normal_noiseless
28,0,0,1,0,0,0,normal_noiseless
29,1,1,0,0,0,0,normal_noiseless
30,0,1,1,0,1,0,normal_noiseless
31,0,1,0,0,0,0,normal_noiseless
32,0,0,0,0,1,0,normal_noiseless
33,0,0,1,1,0,0,normal_noiseless
34,0,1,0,1,0,0,normal_noiseless
35,0,1,0,1,0,0,normal_noiseless
36,1,0,1,0,0,0,normal_noiseless
37,1,1,0,1,0,0,normal_noiseless
38,1,0,1,0,0,0,normal_noiseless
39,1,1,1,1,1,0,normal_noiseless
40,0,1,1,0,1,0,normal_noiseless
41,1,0,1,1,0,0,normal_noiseless
42,0,0,0,0,1,0,normal_noiseless
43,0,0,0,0,1,0,normal_noiseless
44,1,1,1,1,1,0,normal_noiseless
45,0,0,1,1,0,0,normal_noiseless
46,0,0,0,0,1,0,normal_noiseless
47,1,1,0,1,0,0,normal_noiseless
48,1,0,0,1,1,0,normal_noiseless
49,0,1,0,0,0,0,normal_noiseless
50,0,1,1,0,1,0,normal_noiseless
51,0,0,0,0,1,0,normal_noiseless
52,0,0,1,0,0,0,normal_noiseless
53,1,1,1,1,1,0,normal_noiseless
54,1,0,1,0,0,0,normal_noiseless
55,1,0,1,0,0,0,normal_noiseless
56,1,1,0,1,0,0,normal_noiseless
57,1,1,0,0,0,0,normal_noiseless
58,0,0,1,0,0,0,normal_noiseless
59,0,0,0,0,1,0,normal_noiseless
60,1,1,0,0,0,0,normal_noiseless
61,1,0,1,1,0,0,normal_noiseless
62,1,0,0,1,1,0,normal_noiseless
63,1,0,1,0,0,0,normal_noiseless
64,0,0,1,1,0,0,normal_noiseless
65,1,0,0,1,1,0,normal_noiseless
66,1,1,0,1,0,0,normal_noiseless
67,0,1,1,0,1,0,normal_noiseless
68,1,1,0,1,0,0,normal_noiseless
69,1,1,0,0,0,0,normal_noiseless
70,1,0,1,1,0,0,normal_noiseless
71,1,1,0,0,0,0,normal_noiseless
72,0,0,1,1,0,0,normal_noiseless
73,0,0,0,0,1,0,normal_noiseless
74,1,0,0,1,1,0,normal_noiseless
75,0,1,0,1,0,0,normal_noiseless
76,1,0,1,1,0,0,normal_noiseless
77,1,0,1,1,0,0,normal_noiseless
78,1,1,1,1,1,0,normal_noiseless
79,0,0,0,0,1,0,normal_noiseless
80,0,0,0,0,1,0,normal_noiseless
81,1,1,0,0,0,0,normal_noiseless
82,1,1,1,1,1,0,normal_noiseless
83,0,0,1,0,0,0,normal_noiseless
84,1,0,1,0,0,0,normal_noiseless
85,1,1,0,0,0,0,normal_noiseless
86,0,1,0,0,0,0,normal_noiseless
87,1,0,1,0,0,0,normal_noiseless
88,0,0,0,0,1,0,normal_noiseless
89,0,0,1,1,0,0,normal_noiseless
